key,score
258918,0.923212
258134,0.9999826
165265,0.988453
522141,0.9603681
569662,0.99703217
556369,0.99649125
426252,0.99857616
523369,0.009418856
128768,0.9699091
479474,0.81261694
319766,0.99316096
400573,0.005141523
521741,0.3890331
172287,0.51091677
195129,0.1015559
121076,0.9823881
18000,0.73367167
573718,0.15284486
255910,0.9446263
427444,0.58377665
289547,0.53973866
126997,0.99749017
452834,0.22109118
152236,0.13656671
147696,0.8388876
574280,0.33572567
263979,0.8170427
342576,0.69590884
122740,0.9981335
94522,0.6992203
193528,0.005311142
283679,0.000892965
309557,0.95933485
393982,0.98860466
395787,0.27218807
428686,0.9748437
546489,0.53597635
166263,0.4572591
453352,0.14770809
68836,0.9903566
69941,0.9590103
480,0.93748295
552162,0.000514352
212516,0.7131969
519215,0.006952172
387174,0.17366047
453450,0.000681564
378816,0.001618858
428171,0.95148873
203413,0.61665046
554832,0.99330455
107213,0.004630142
4905,0.000102593
74170,0.9993061
170306,0.9517815
23003,0.99865973
580325,0.22408763
18031,0.9374843
568458,0.2676844
570891,0.9715471
452158,0.071254306
180169,0.8800679
518995,0.3241639
148214,0.73342913
68801,0.008894735
82068,0.37618315
333194,0.90673333
113278,0.99766207
426445,0.11279285
82037,0.74838555
380884,0.29929066
401307,0.30209368
124023,0.53302324
510315,0.832987
51023,0.92934644
157672,0.982754
273559,0.8911449
366464,0.002775112
208100,0.030352615
174710,0.8583841
415176,0.6453654
274275,0.15576345
11445,0.56635284
486912,0.034828603
100215,0.99945813
111260,0.9999608
306571,0.9057211
498342,0.8922394
91009,0.9966612
523355,0.004006029
524864,0.9999877
434537,0.10354759
159320,0.87020695
492275,0.23486593
571474,0.7532791
456492,0.004465174
227245,5.96E-07
533713,0.00783135
439327,9.83E-08
136879,0.93806994
266731,0.000358888
195973,0.91611093
265475,9.51E-05
391972,0.9743892
554045,0.99808854
121483,0.437487
441455,0.07993924
122386,0.9839373
382689,0.49928114
153316,0.8843474
508308,0.15018725
370580,0.000685538
510905,0.65155166
37663,0.9995246
381601,0.9861859
261581,0.9028212
166382,0.10383586
409932,0.060154323
58296,0.986008
230443,0.9471662
550973,0.9948144
565952,0.68664056
92102,0.011396711
80501,0.99268955
507936,0.001187024
118171,0.99368954
224139,0.9919789
315225,0.6802811
294909,0.003572573
314035,0.48079702
331394,0.6568478
101629,0.9994041
256282,0.027913729
472630,0.82939065
304582,0.27839163
131792,0.52974737
322436,0.935253
310418,0.4629825
517761,0.023998296
148736,0.9959835
448003,0.001574321
291596,0.014712548
252881,0.5818378
561356,0.19041467
146158,0.9797912
420489,0.001068289
196774,0.9742251
304538,0.6978572
94865,0.99794906
370607,0.5176953
269269,0.000155432
371185,0.114946626
85471,0.9326783
151412,0.000625812
376409,0.24486412
473025,0.8962795
145221,0.9882019
179258,0.57133013
236276,0.98106027
300524,0.23602219
538481,0.5481183
23149,0.17565614
228043,0.7562668
500323,0.12242686
563124,0.8619952
538915,0.010135749
341184,0.029427666
22604,0.9354713
539098,0.8549149
416925,0.44439
428435,0.4017197
475823,1.07E-07
251145,0.013711507
124386,0.5182803
69345,0.99478674
64133,0.8131867
375694,0.9951551
509369,0.015807193
445418,0.00161083
543394,3.14E-06
539994,0.002768188
520358,0.7125904
24517,0.9928954
388874,0.99999535
456661,0.14583288
301696,0.98901004
47015,0.9985843
217181,0.999749
199752,0.07668039
291001,0.22852893
285435,0.000250503
367588,0.99461913
307885,0.64249307
575060,0.014220119
288955,0.21540779
157576,0.9616022
57978,0.9657601
451346,0.14241281
205222,0.80772734
66439,0.9997923
84327,0.9929651
457794,0.3047926
362729,0.67653733
291448,0.9973339
2178,0.022532104
562957,0.88548315
41599,0.02419546
430164,0.9941209
233158,0.96900195
116856,0.17267041
327489,0.70535874
376203,0.55207115
244067,2.82E-05
43442,0.97331685
505496,0.15391536
251474,0.22205232
413108,0.9802688
139998,0.9999987
458270,0.03516825
528113,0.005249578
27004,0.99989057
153293,0.958747
24623,0.9936348
302078,0.28226045
566557,0.9448055
453089,0.011732801
175866,0.39110932
163857,0.8106917
94927,0.9630833
316118,0.9790704
37990,0.9898398
120381,0.96676654
207661,0.12874524
410131,0.01837688
350347,0.012771476
491432,0.062879115
139266,0.99817574
256430,0.8268388
409075,0.48581102
360951,0.79627204
187633,0.9182682
98874,0.030528065
181490,0.91678715
40044,0.9999769
555594,0.9999981
280578,0.16772181
528162,0.057718493
204981,0.14237167
17682,0.9965575
74784,0.9342581
194995,0.8945342
381502,0.049047228
47963,0.06151584
44226,0.9926455
230286,0.63125765
179095,0.91156065
107048,0.9707592
221509,0.6727737
101210,0.97005904
374912,0.9765104
432655,0.001153035
369136,0.93784827
383742,0.007999244
319067,0.19328956
383449,6.09E-05
291339,0.14041291
380955,0.89937866
97369,0.99563473
31279,0.9173876
30346,0.998097
306019,0.77536386
458762,0.17507549
468377,0.9712297
106794,0.99855345
494558,0.8564965
431919,0.96617013
83116,0.9912101
26180,0.9209912
225317,0.002378384
217243,2.36E-07
247784,3.63E-06
509785,0.9224088
278373,0.002363842
423860,0.000142457
249468,0.000965527
237724,0.8802925
42735,0.99974006
128246,0.99812585
481822,0.010608934
418860,0.705998
96369,0.70091754
400841,0.8096751
571986,0.7799914
178191,0.52138674
525372,0.99780005
568962,0.9983094
428405,0.9757495
481473,0.004558117
57662,0.98023933
511568,0.94281775
249811,0.97747564
104570,0.9997496
281830,2.20E-09
388622,0.9020896
57203,0.22340643
225295,0.9119682
458184,0.26554194
548656,0.9981736
130431,0.9830457
263770,2.65E-06
146157,0.9851999
546815,0.06348991
39685,0.028753623
278962,2.62E-05
334209,0.8534813
34297,0.33095464
349799,0.9666272
580966,0.02384051
408662,0.1663298
69462,0.98931646
2356,0.12688212
276744,0.00055952
381534,0.9811187
14475,0.07306132
157664,0.84952056
419178,0.8459347
268461,0.38477904
165930,0.85695106
54263,0.012501055
429729,0.22474411
373652,0.35108995
513202,0.9929241
527200,0.057855755
572775,0.029006
49546,0.9728669
461195,0.020402757
181410,0.93576604
576472,0.002853848
554942,0.007280154
463189,0.032038674
117788,0.9923798
381704,0.9645104
140108,0.7667839
316400,0.92201495
541482,9.38E-05
169973,0.29552862
539220,0.002614823
11090,0.00267831
308006,0.9430065
457903,0.99057674
552834,0.99999785
311791,0.98950255
225367,1.58E-05
78046,0.9999881
38993,0.88212806
152381,0.9745355
531196,0.02445541
436930,0.029983733
232347,0.99873775
84424,0.9307538
561016,0.07649903
531059,4.59E-07
463936,0.672002
519095,0.000391852
127634,0.9681142
563167,0.9993332
455108,0.14113227
314860,0.98445165
563137,0.7345389
51408,0.9984242
127465,0.9998559
450839,0.8003195
563682,0.78156817
303931,0.48982581
67153,0.008202161
88079,0.9356207
486215,0.07299661
487389,0.31421432
31973,0.801259
306040,0.9204678
523026,0.99998987
208313,0.9092046
329576,0.8763638
171963,0.74225944
60488,0.076484576
128946,0.8831538
39887,0.8909609
90204,0.95206124
567539,1.67E-33
219667,0.73844725
359817,0.03881123
293058,1.27E-05
110938,0.9999616
350388,0.94675124
167043,0.8021184
168779,0.46745938
332757,0.99076897
152349,0.8852602
522520,0.17097232
66252,0.8129499
12808,0.010439888
383907,0.80129725
567602,0.9964187
569776,0.54668885
267304,1.39E-06
290448,0.7549872
478962,0.86506426
455040,0.000601783
332552,0.9951351
399017,0.38061422
118974,0.6620489
354857,0.120906316
17187,0.8276795
272347,0.003646378
202992,0.8199519
555386,0.036366306
415933,0.09714935
78078,0.64399374
128353,0.8591458
70201,0.9914346
170805,0.9392847
567283,0.9988594
22767,0.9966809
94206,0.99963474
389507,0.99998105
211741,0.045954775
399095,0.31179646
94449,0.98123634
180437,0.96662474
358346,0.005461994
268055,0.92343277
386221,0.9994276
98156,0.24917239
419458,0.9495958
31288,0.7541423
249598,0.32008183
91668,0.98547363
533643,0.9441929
365656,1.51E-06
222863,0.8964085
29804,0.79338086
113540,0.8392541
557573,0.9999802
484527,0.8548696
297268,1.16E-05
21195,0.99586475
481542,0.11827903
171670,0.7404719
574831,0.2619661
5610,0.001073392
29493,0.99587667
